Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zhee6Apgg8QqeJObO4k1d,"Girl","Hotel New York","Anouk",2004-10-25,210733,50,false,joeynoord,2025-11-10T20:27:03Z,"nederpop","Universal Music, a division of Universal International Music BV",0.672,0.803,4,-4.693,1,0.0285,0.00753,0,0.0597,0.794,136.007,4
spotify:track:2ewEh7LuvToYyGHq7yT8N1,"Shelter","Shelter","Porter Robinson;Madeon",2016-08-12,218964,63,false,joeynoord,2025-11-10T20:29:12Z,"edm,elektronisch,franse house","Popcultur / mTheory",0.477,0.796,0,-4.499,1,0.0369,0.00293,0,0.184,0.27,99.859,4
spotify:track:1vMMwDCd1Hnb91a3x9MdfX,"Gravity","Gravity","Martin Garrix;Sem Vox;Jaimes",2024-10-18,285472,58,false,joeynoord,2025-11-10T20:33:02Z,"edm,progressive house,electronica","STMPD RCRDS",0.491,0.69,5,-6.532,0,0.0363,0.0124,0,0.0868,0.253,126.839,4
spotify:track:4gbVRS8gloEluzf0GzDOFc,"Maps","V","Maroon 5",2014-09-02,189960,84,false,joeynoord,2025-11-10T20:33:52Z,"pop","Interscope Records*",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
spotify:track:60zIis3BtyfNQFEucmDvE7,"I Run","I Run","HAVEN.",2025-10-29,129565,75,false,joeynoord,2025-11-10T20:37:04Z,"","Isekai / Broke / AAO",0.737,0.795,8,-3.919,0,0.0309,0.00291,0.00589,0.108,0.26,138.013,4
spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,"Around the World (La La La La La)","Planet Pop","A Touch Of Class;Pete Konemann",2000-11-06,214533,72,false,joeynoord,2025-11-10T20:40:26Z,"europop,eurodance","Sony Music Catalog",0.617,0.977,9,-7.028,0,0.0276,0.153,0.0016,0.133,0.679,131.965,4
spotify:track:2cdzutoqFK6sfW6exi7oXh,"Return to Sender","Elvis 30 #1 Hits","Elvis Presley",2002-09-24,128306,53,false,joeynoord,2025-11-10T20:40:43Z,"rockabilly,rock-and-roll","RCA Records Label",0.838,0.617,8,-6.502,1,0.0429,0.575,0,0.0785,0.971,131.719,4
spotify:track:2uZWffKoemZDI0gHcBEcDc,"On & On","On & On","Cartoon;Jéja;Daniel Levi",2015-07-09,207068,74,false,joeynoord,2025-11-10T21:14:12Z,"","NCS",0.457,0.694,11,-4.741,1,0.039,0.296,0,0.123,0.425,174.119,4
spotify:track:0uHrMbMv3c78398pIANDqR,"Europapa","Europapa","Joost",2024-02-29,160218,65,false,joeynoord,2025-11-10T21:15:47Z,"gabber,europop","Joost Klein",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
spotify:track:2HYFX63wP3otVIvopRS99Z,"Houdini","Houdini","Eminem",2024-05-31,227239,75,true,joeynoord,2025-11-10T21:18:13Z,"rap,hiphop","Shady/Aftermath/Interscope Records",0.936,0.887,9,-2.76,0,0.0683,0.0292,0.00000188,0.0582,0.889,127.003,4
spotify:track:5OoRmdDfAiDztSwrhe7wuE,"Liberian Girl - 2012 Remastered Version","Bad 25th Anniversary","Michael Jackson",2012-09-18,232800,62,false,joeynoord,2025-11-10T21:18:19Z,"","Epic/Legacy",0.749,0.546,8,-7.217,0,0.103,0.464,0.00191,0.126,0.454,105.232,4
